date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:17:20	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Dec%202023%2006:17:19%20GMT	https://www.amgk.az/Presentations%20%20ORAL/%c3%a2%c2%80%c2%9cBULLA%20%c3%a2%c2%80%c2%93D%c3%86%c2%8fN%c3%84%c2%b0Z%c3%a2%c2%80%c2%9d%20SAH%c3%86%c2%8fS%c3%84%c2%b0ND%c3%86%c2%8f%20D%c3%86%c2%8fN%c3%84%c2%b0Z%20D%c3%84%c2%b0B%c3%84%c2%b0N%c3%86%c2%8f%20YAXIN%20SULARDA%20KARBOH%c3%84%c2%b0DROGENL%c3%86%c2%8fR%c3%84%c2%b0N%20YAYILMASI%20X%c3%83%c2%9cSUS%c3%84%c2%b0YY%c3%86%c2%8fTL%c3%86%c2%8fR%c3%84%c2%b0.pdf	C:/Users/Maqa/Desktop/Amgk/amgk/www.amgk.az/Presentations%20%20ORAL/%c3%a2%c2%80%c2%9cBULLA%20%c3%a2%c2%80%c2%93D%c3%86%c2%8fN%c3%84%c2%b0Z%c3%a2%c2%80%c2%9d%20SAH%c3%86%c2%8fS%c3%84%c2%b0ND%c3%86%c2%8f%20D%c3%86%c2%8fN%c3%84%c2%b0Z%20D%c3%84%c2%b0B%c3%84%c2%b0N%c3%86%c2%8f%20YAXIN%20SULARDA%20KARBOH%c3%84%c2%b0DROGENL%c3%86%c2%8fR%c3%84%c2%b0N%20YAYILMASI%20X%c3%83%c2%9cSUS%c3%84%c2%b0YY%c3%86%c2%8fTL%c3%86%c2%8fR%c3%84%c2%b0.pdf	(from https://www.amgk.az/)
10:17:21	375024/375024	---M--	200	added ('OK')	application/pdf	date:Fri,%2009%20Jun%202023%2013:07:39%20GMT	https://www.amgk.az/Presentations%20%20ORAL/ASSESSMENT%20OF%20HYDROCARBON%20POTENTIAL%20BASED%20ON%20GENERALIZED%20ANALYSIS%20OF%20RECENT%20GEOLOGICAL%20AND%20GEOPHYSICAL%20SURVEYS%20IN%20THE%20AJINOHUR%20POSSIBLE%20OIL%20AND%20GAS%20REGION%20(POGR).pdf	C:/Users/Maqa/Desktop/Amgk/amgk/www.amgk.az/Presentations%20%20ORAL/ASSESSMENT%20OF%20HYDROCARBON%20POTENTIAL%20BASED%20ON%20GENERALIZED%20ANALYSIS%20OF%20RECENT%20GEOLOGICAL%20AND%20GEOPHYSICAL%20SURVEYS%20IN%20THE%20AJINOHUR%20POSSIBLE%20OIL%20AND%20GAS%20REGION%20(POGR).pdf	(from https://www.amgk.az/)
10:17:21	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Dec%202023%2006:17:20%20GMT	https://www.amgk.az/Presentations%20%20ORAL/AZ%c3%86%c2%8fRBAYCANDA%20QEYR%c3%84%c2%b0-%c3%86%c2%8fN%c3%86%c2%8fN%c3%86%c2%8fV%c3%84%c2%b0%20VULKANOTEKTON%c3%84%c2%b0K%20T%c3%86%c2%8fL%c3%86%c2%8fL%c3%86%c2%8fR%c3%84%c2%b0N%20VARLI%c3%84%c2%9eI%20HAQQINDA.pdf	C:/Users/Maqa/Desktop/Amgk/amgk/www.amgk.az/Presentations%20%20ORAL/AZ%c3%86%c2%8fRBAYCANDA%20QEYR%c3%84%c2%b0-%c3%86%c2%8fN%c3%86%c2%8fN%c3%86%c2%8fV%c3%84%c2%b0%20VULKANOTEKTON%c3%84%c2%b0K%20T%c3%86%c2%8fL%c3%86%c2%8fL%c3%86%c2%8fR%c3%84%c2%b0N%20VARLI%c3%84%c2%9eI%20HAQQINDA.pdf	(from https://www.amgk.az/)
10:17:21	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Dec%202023%2006:17:20%20GMT	https://www.amgk.az/Presentations%20%20ORAL/AZ%c3%86%c2%8fRBAYCANIN%20KARBOH%c3%84%c2%b0DROGEN%20%20EHT%c3%84%c2%b0YAT%20V%c3%86%c2%8f%20RESURSLARININ%20GEOLOJ%c3%84%c2%b0-GEOF%c3%84%c2%b0Z%c3%84%c2%b0K%c3%84%c2%b0%20M%c3%86%c2%8fLUMATLAR%20%c3%86%c2%8fSASINDA%20Q%c3%84%c2%b0YM%c3%86%c2%8fTL%c3%86%c2%8fND%c3%84%c2%b0R%c3%84%c2%b0LM%c3%86%c2%8fS%c3%84%c2%b0.pdf	C:/Users/Maqa/Desktop/Amgk/amgk/www.amgk.az/Presentations%20%20ORAL/AZ%c3%86%c2%8fRBAYCANIN%20KARBOH%c3%84%c2%b0DROGEN%20%20EHT%c3%84%c2%b0YAT%20V%c3%86%c2%8f%20RESURSLARININ%20GEOLOJ%c3%84%c2%b0-GEOF%c3%84%c2%b0Z%c3%84%c2%b0K%c3%84%c2%b0%20M%c3%86%c2%8fLUMATLAR%20%c3%86%c2%8fSASINDA%20Q%c3%84%c2%b0YM%c3%86%c2%8fTL%c3%86%c2%8fND%c3%84%c2%b0R%c3%84%c2%b0LM%c3%86%c2%8fS%c3%84%c2%b0.pdf	(from https://www.amgk.az/)
10:17:21	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Dec%202023%2006:17:20%20GMT	https://www.amgk.az/Presentations%20%20ORAL/C%c3%86%c2%8fNUBI%20X%c3%86%c2%8fZ%c3%86%c2%8fR%20%c3%83%c2%87%c3%83%c2%96K%c3%86%c2%8fKL%c3%84%c2%b0Y%c3%84%c2%b0ND%c3%86%c2%8f%20KARBOH%c3%84%c2%b0DROGEN%20S%c3%84%c2%b0STEML%c3%86%c2%8fR%c3%84%c2%b0N%c3%84%c2%b0N%20FORMALA%c3%85%c2%9eMASININ%20%c3%86%c2%8fSAS%20X%c3%83%c2%9cSUS%c3%84%c2%b0YY%c3%86%c2%8fTL%c3%86%c2%8fR%c3%84%c2%b0.pdf	C:/Users/Maqa/Desktop/Amgk/amgk/www.amgk.az/Presentations%20%20ORAL/C%c3%86%c2%8fNUBI%20X%c3%86%c2%8fZ%c3%86%c2%8fR%20%c3%83%c2%87%c3%83%c2%96K%c3%86%c2%8fKL%c3%84%c2%b0Y%c3%84%c2%b0ND%c3%86%c2%8f%20KARBOH%c3%84%c2%b0DROGEN%20S%c3%84%c2%b0STEML%c3%86%c2%8fR%c3%84%c2%b0N%c3%84%c2%b0N%20FORMALA%c3%85%c2%9eMASININ%20%c3%86%c2%8fSAS%20X%c3%83%c2%9cSUS%c3%84%c2%b0YY%c3%86%c2%8fTL%c3%86%c2%8fR%c3%84%c2%b0.pdf	(from https://www.amgk.az/)
10:17:21	208178/208178	---M--	200	added ('OK')	application/pdf	date:Fri,%2009%20Jun%202023%2013:08:00%20GMT	https://www.amgk.az/Presentations%20%20ORAL/Challenges%20of%20statics%20computation%20in%20Algerian%20Seismic%20data.pdf	C:/Users/Maqa/Desktop/Amgk/amgk/www.amgk.az/Presentations%20%20ORAL/Challenges%20of%20statics%20computation%20in%20Algerian%20Seismic%20data.pdf	(from https://www.amgk.az/)
10:17:22	374439/374439	---M--	200	added ('OK')	application/pdf	date:Fri,%2009%20Jun%202023%2013:08:01%20GMT	https://www.amgk.az/Presentations%20%20ORAL/DIGITAL%20%20MODELING%20%20OF%20GRAVITY%20GRADIENTS%20FOR%20SOLVING%20STRUCTURAL%20PROBLEMS%20AND%20DIRECT%20HYDROCARBONS%20SEARCH.pdf	C:/Users/Maqa/Desktop/Amgk/amgk/www.amgk.az/Presentations%20%20ORAL/DIGITAL%20%20MODELING%20%20OF%20GRAVITY%20GRADIENTS%20FOR%20SOLVING%20STRUCTURAL%20PROBLEMS%20AND%20DIRECT%20HYDROCARBONS%20SEARCH.pdf	(from https://www.amgk.az/)
10:17:22	128205/128205	---M--	200	added ('OK')	application/pdf	date:Fri,%2009%20Jun%202023%2013:08:02%20GMT	https://www.amgk.az/Presentations%20%20ORAL/EMPOWERING%20EXPLORATION%20STUDIES%20WITH%20SEISMIC%20DATA%20ANALYSIS%20TOOLS.pdf	C:/Users/Maqa/Desktop/Amgk/amgk/www.amgk.az/Presentations%20%20ORAL/EMPOWERING%20EXPLORATION%20STUDIES%20WITH%20SEISMIC%20DATA%20ANALYSIS%20TOOLS.pdf	(from https://www.amgk.az/)
10:17:22	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Dec%202023%2006:17:21%20GMT	https://www.amgk.az/Presentations%20%20ORAL/EVOLUTION%20OF%20THE%20%20SOUTH%20CASPIAN%20BASIN%20%c3%a2%c2%80%c2%93%20EVIDENCE%20FROM%20OFFSHORE%20SEISMIC%20AND%20ONSHORE%20ACTIVE%20TECTONICS.pdf	C:/Users/Maqa/Desktop/Amgk/amgk/www.amgk.az/Presentations%20%20ORAL/EVOLUTION%20OF%20THE%20%20SOUTH%20CASPIAN%20BASIN%20%c3%a2%c2%80%c2%93%20EVIDENCE%20FROM%20OFFSHORE%20SEISMIC%20AND%20ONSHORE%20ACTIVE%20TECTONICS.pdf	(from https://www.amgk.az/)
10:17:22	188705/188705	---M--	200	added ('OK')	application/pdf	date:Fri,%2009%20Jun%202023%2013:08:03%20GMT	https://www.amgk.az/Presentations%20%20ORAL/FORECASTING%20OF%20PETROPHYSICAL%20PROPERTIES%20OF%20RESERVOIR%20ROCKS%20AND%20DEPOSITS%20OF%20THE%20SOUTH%20CASPIAN%20BASIN.pdf	C:/Users/Maqa/Desktop/Amgk/amgk/www.amgk.az/Presentations%20%20ORAL/FORECASTING%20OF%20PETROPHYSICAL%20PROPERTIES%20OF%20RESERVOIR%20ROCKS%20AND%20DEPOSITS%20OF%20THE%20SOUTH%20CASPIAN%20BASIN.pdf	(from https://www.amgk.az/)
